Name,AvgCyclomaticModified,AvgCyclomatic,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
AddTaskAction.java,2,2,2,1,7,0,7,0,4,4,0,4,0,1,0,3,65,13,42,21,19,10,25,34,19,15,4,4,5,0.24,8,8,9,7
AddToClasspathAction.java,2,2,3,1,11,0,11,0,9,5,0,9,0,5,0,4,174,22,115,49,59,37,70,91,51,40,4,4,6,0.32,24,24,28,14
AddTypeParameterProposal.java,4,4,6,1,37,3,33,1,2,2,4,2,0,0,1,1,133,19,104,59,54,12,84,93,59,34,6,6,8,0.12,8,8,12,2
AddUnimplementedConstructorsAction.java,2,2,2,1,10,0,9,0,35,34,9,35,1,7,5,22,629,95,435,182,254,103,282,358,178,180,15,15,16,0.24,75,75,87,51
AddUnimplementedConstructorsOperation.java,2,2,2,1,12,1,11,0,11,11,12,11,0,1,0,10,290,43,166,75,87,85,111,142,78,64,13,13,14,0.51,29,29,32,14
AddUnimplementedMethodsOperation.java,3,3,4,1,18,2,16,0,7,7,10,7,0,1,0,6,252,41,155,70,84,60,105,132,72,60,12,12,13,0.39,25,25,28,10
AddUnimplementedMethodsOperation.java,4,4,4,1,19,1,18,1,5,5,1,5,0,1,0,4,170,21,125,61,71,30,88,109,61,48,7,7,7,0.24,20,20,20,9
AddWordProposal.java,1,1,1,1,6,0,5,0,10,9,2,10,1,1,0,8,175,32,84,40,37,61,46,63,39,24,7,7,10,0.73,16,16,19,13
AdvancedQuickAssistProcessor.java,7,7,9,4,40,2,34,3,67,8,0,67,2,57,1,7,2862,219,2399,728,1814,269,1465,1928,759,1169,46,46,53,0.11,477,477,608,312
AllCleanUpsAction.java,1,1,1,1,6,0,5,0,10,10,1,10,0,3,3,4,115,20,74,31,31,21,40,55,29,26,2,2,2,0.28,14,14,14,10
AlphabeticSorter.java,1,1,1,1,3,0,3,0,2,2,1,2,0,0,0,2,39,7,14,9,3,18,7,10,8,2,1,1,1,1.29,2,2,2,2
AlreadyExistsDialog.java,1,1,1,1,10,1,9,0,13,13,10,13,0,3,2,8,203,53,133,47,77,17,91,110,49,61,4,4,4,0.13,18,18,18,16
AnnotationAdapter.java,1,1,1,1,1,0,1,0,2,2,0,2,0,0,0,2,40,7,8,7,0,25,6,7,7,0,1,1,1,3.13,2,2,2,2
AnnotationAtttributeProposalInfo.java,2,2,2,2,9,0,8,1,2,2,0,2,0,0,1,1,65,6,29,18,12,30,18,24,17,7,4,4,4,1.03,5,5,5,5
AnnotationExpandHover.java,2,2,2,1,9,1,7,0,19,19,5,19,0,0,6,13,309,47,188,84,94,74,107,152,83,69,8,8,8,0.39,41,41,44,34
AnnotationExpansionControl.java,2,2,2,1,10,1,8,0,55,55,23,55,1,6,4,44,895,143,529,201,299,224,326,442,211,231,14,14,15,0.42,113,113,124,69
AnnotationFilter.java,3,3,3,3,10,0,10,0,1,1,0,1,0,0,0,1,37,4,17,8,6,16,8,12,7,5,3,3,3,0.94,3,3,3,3
AnnotationHover.java,1,1,1,1,3,0,3,0,1,1,0,1,0,0,0,1,25,3,6,3,1,16,2,4,3,1,1,1,1,2.67,1,1,1,1
AnonymousTypeCompletionProposal.java,3,3,5,1,20,2,16,1,17,17,5,17,0,4,6,7,510,81,357,152,233,86,234,301,145,156,21,21,28,0.24,66,66,91,30
AnonymousTypeProposalInfo.java,1,1,1,1,4,0,4,0,2,2,0,2,0,0,1,1,51,6,17,12,4,28,10,13,11,2,1,1,1,1.65,2,2,2,2
AppearanceAwareLabelProvider.java,1,1,2,1,7,0,7,0,8,8,2,8,0,1,2,5,131,16,77,30,38,40,36,51,26,25,5,5,8,0.52,14,14,21,8
AppearancePreferencePage.java,1,1,1,1,16,2,14,0,11,11,10,11,0,4,2,5,283,46,211,78,143,27,176,192,74,118,3,3,5,0.13,15,15,17,13
ApplyRefactoringScriptAction.java,1,1,1,1,4,0,3,0,4,4,1,4,0,0,0,4,60,8,22,12,6,30,10,16,12,4,2,2,2,1.36,5,5,5,4
ApplyRefactoringScriptAction.java,1,1,1,1,5,0,5,0,5,4,1,5,0,1,0,4,99,13,44,25,19,42,28,36,25,11,2,2,2,0.95,7,7,7,5
ApplyRefactoringScriptWizard.java,1,1,1,1,6,0,6,0,14,14,4,14,0,0,1,13,196,26,103,42,53,68,56,81,44,37,4,4,5,0.66,23,23,25,14
ApplyRefactoringScriptWizardPage.java,2,2,2,1,15,0,14,0,10,10,3,10,0,2,2,6,235,23,164,50,105,49,105,130,52,78,7,7,7,0.3,25,25,25,16
ArchiveFileFilter.java,4,4,4,4,12,0,11,0,4,2,3,4,0,0,0,4,108,20,68,26,34,25,39,56,27,29,9,9,11,0.37,16,16,19,16
ArgumentRule.java,1,1,1,1,4,0,4,0,5,5,1,5,0,0,2,3,79,12,32,15,11,36,15,23,13,10,2,2,2,1.13,6,6,7,5
ArrayElementVariable2.java,1,1,1,1,5,0,5,0,3,3,1,3,0,0,0,3,47,9,22,10,9,16,10,16,8,8,3,3,3,0.73,5,5,5,5
ArraySuperTypeSet.java,1,1,2,1,6,0,5,0,17,17,1,17,0,0,1,16,213,32,122,50,60,64,53,85,36,49,6,6,6,0.52,33,33,34,30
ArrayType.java,1,2,2,1,6,0,6,0,17,17,3,17,0,2,6,9,168,27,122,37,65,21,60,88,32,56,14,4,14,0.17,39,27,47,20
ArrayTypeConverter.java,1,1,1,1,3,0,3,0,6,1,0,6,5,1,0,0,52,10,32,20,10,10,18,25,20,5,1,1,1,0.31,6,6,6,6
ArrayTypeSet.java,1,1,1,1,4,0,4,0,25,25,3,25,0,0,1,24,230,30,132,54,53,69,52,85,41,44,4,4,5,0.52,34,34,35,30
ArrayTypeVariable2.java,1,1,1,1,3,0,3,0,1,1,0,1,0,0,0,1,27,6,7,4,1,14,3,5,4,1,1,1,1,2,1,1,1,1
AssertionVMArg.java,1,1,2,1,7,0,5,1,6,0,0,6,0,0,0,6,131,19,48,24,23,68,28,38,25,13,3,3,4,1.42,11,11,13,8
AssignToVariableAssistProposal.java,3,4,4,1,22,2,19,0,14,14,6,14,0,10,1,3,431,67,342,151,208,29,233,287,157,130,20,20,27,0.08,56,54,67,27
AssistContext.java,1,1,1,1,4,0,4,0,13,13,5,13,0,1,0,12,156,25,74,30,26,57,38,56,30,26,3,3,3,0.77,17,17,17,13
